artist_id,genre
0SIxAAknV8iR2jHcQJ9Sfn,chillhop
08avsqaGIlK2x3i2Cu7rKH,blues
08avsqaGIlK2x3i2Cu7rKH,blues rock
08avsqaGIlK2x3i2Cu7rKH,british blues
08avsqaGIlK2x3i2Cu7rKH,electric blues
5jAMCwdNHWr7JThxtMuEyy,alt z
5jAMCwdNHWr7JThxtMuEyy,electropop
5jAMCwdNHWr7JThxtMuEyy,pop dance
5jAMCwdNHWr7JThxtMuEyy,pop edm
0phMS1UDPTZlxuEnarDUKt,blues
0phMS1UDPTZlxuEnarDUKt,chicago blues
1bObiFZkYu7IfzxVlAVj5x,dutch americana
1bObiFZkYu7IfzxVlAVj5x,dutch pop
1bObiFZkYu7IfzxVlAVj5x,dutch rock
1bObiFZkYu7IfzxVlAVj5x,dutch singer-songwriter
2e53aHBQdCMKWqHDuyJsjC,album rock
2e53aHBQdCMKWqHDuyJsjC,blues rock
2e53aHBQdCMKWqHDuyJsjC,british blues
2e53aHBQdCMKWqHDuyJsjC,classic rock
2e53aHBQdCMKWqHDuyJsjC,hard rock
2gaCpvhi31OZtozJKsr5gm,french indie pop
2gaCpvhi31OZtozJKsr5gm,french indietronica
4HfoncnCuBS7D4xU4VDosQ,memphis americana
4HfoncnCuBS7D4xU4VDosQ,modern blues
4HfoncnCuBS7D4xU4VDosQ,soul blues
66jsWaGhzSpHH1KRF34Oq3,deep new americana
66jsWaGhzSpHH1KRF34Oq3,new americana
4Uv0Jg45Oq7vBXXwQNhXyf,classic soul
4Uv0Jg45Oq7vBXXwQNhXyf,disco
4Uv0Jg45Oq7vBXXwQNhXyf,funk
4Uv0Jg45Oq7vBXXwQNhXyf,p funk
4Uv0Jg45Oq7vBXXwQNhXyf,post-disco
4Uv0Jg45Oq7vBXXwQNhXyf,quiet storm
4Uv0Jg45Oq7vBXXwQNhXyf,soul
4Uv0Jg45Oq7vBXXwQNhXyf,southern soul
0elA30wLp3RmiPaGtU2jhQ,acoustic blues
0elA30wLp3RmiPaGtU2jhQ,blues
0elA30wLp3RmiPaGtU2jhQ,country blues
0elA30wLp3RmiPaGtU2jhQ,delta blues
0elA30wLp3RmiPaGtU2jhQ,traditional blues
0elA30wLp3RmiPaGtU2jhQ,traditional southern folk
6OgHTWl7y9oeccoxeXXDPn,chillhop
6OgHTWl7y9oeccoxeXXDPn,lo-fi beats
1Jl8u1U1GtBlwocZK5LWZv,jam band
1Jl8u1U1GtBlwocZK5LWZv,modern blues
1Jl8u1U1GtBlwocZK5LWZv,modern blues rock
1Jl8u1U1GtBlwocZK5LWZv,roots rock
1Jl8u1U1GtBlwocZK5LWZv,swamp rock
3Y7RZ31TRPVadSFVy1o8os,r&b
3Y7RZ31TRPVadSFVy1o8os,rap
7cg61q8kK8jlFi8TKKw70p,bronx hip hop
7cg61q8kK8jlFi8TKKw70p,east coast hip hop
7cg61q8kK8jlFi8TKKw70p,old school hip hop
2bcrMsFlF632EQ6VZERWFu,dance-punk
2bcrMsFlF632EQ6VZERWFu,indie rock
2bcrMsFlF632EQ6VZERWFu,modern rock
5LXHT7v9uYGrsyEnL9q9K8,japanese chillhop
0SM6zo7lSdqyplZo6XRX76,lo-fi beats
3NUsiT2JSyaWAnWaXxDzhQ,bebop
3NUsiT2JSyaWAnWaXxDzhQ,jazz
3NUsiT2JSyaWAnWaXxDzhQ,jazz saxophone
2iojnBLj0qIMiKPvVhLnsH,dance pop
2iojnBLj0qIMiKPvVhLnsH,r&b
2iojnBLj0qIMiKPvVhLnsH,southern hip hop
2iojnBLj0qIMiKPvVhLnsH,trap
2iojnBLj0qIMiKPvVhLnsH,urban contemporary
4d53BMrRlQkrQMz5d59f2O,pop soul
0hE3uA2w3guHeKvuc7BpRr,bossa nova jazz
0hE3uA2w3guHeKvuc7BpRr,brazilian jazz
0hE3uA2w3guHeKvuc7BpRr,jazz funk
4SkLPRjzPXh6d5n32Vypy5,indie soul
4SkLPRjzPXh6d5n32Vypy5,nz reggae
3XxxEq6BREC57nCWXbQZ7o,contemporary vocal jazz
3XxxEq6BREC57nCWXbQZ7o,jazz pop
3XxxEq6BREC57nCWXbQZ7o,neo mellow
27WVFBOddxovimxMmBN4fb,dutch r&b
27WVFBOddxovimxMmBN4fb,indie r&b
3EnbnmqrrvApHJs6FMvYik,indie soul
2ooIqOf4X2uz4mMptXCtie,alternative rock
2ooIqOf4X2uz4mMptXCtie,chamber pop
2ooIqOf4X2uz4mMptXCtie,elephant 6
2ooIqOf4X2uz4mMptXCtie,indie rock
2ooIqOf4X2uz4mMptXCtie,lo-fi
2ooIqOf4X2uz4mMptXCtie,noise pop
2ooIqOf4X2uz4mMptXCtie,slacker rock
4kkfqDFX2t4QBOwuHqAROF,post-disco
4kkfqDFX2t4QBOwuHqAROF,rare groove
37M5pPGs6V1fchFJSgCguX,alt z
37M5pPGs6V1fchFJSgCguX,la indie
37M5pPGs6V1fchFJSgCguX,pop
37M5pPGs6V1fchFJSgCguX,pov: indie
6Q8A9S9o98GqVGzDdiwvTH,norwegian blues
6Q8A9S9o98GqVGzDdiwvTH,norwegian jazz
795yvukGj0UOfcP8uftDq9,jazz quartet
4uaGojdWj4H6cTJydZUPWG,chill r&b
4uaGojdWj4H6cTJydZUPWG,indie r&b
5b4SvpTqll0LSqJWPpXya5,disco
5b4SvpTqll0LSqJWPpXya5,hammond organ
5b4SvpTqll0LSqJWPpXya5,post-disco
30nQz03BZ9JSH183zqLttV,new jack swing
4R2ZUCVWjJs5ef9pjnCVC4,contemporary r&b
4R2ZUCVWjJs5ef9pjnCVC4,funk
4R2ZUCVWjJs5ef9pjnCVC4,minneapolis sound
4R2ZUCVWjJs5ef9pjnCVC4,new jack swing
4R2ZUCVWjJs5ef9pjnCVC4,post-disco
4R2ZUCVWjJs5ef9pjnCVC4,quiet storm
4R2ZUCVWjJs5ef9pjnCVC4,urban contemporary
3zTOe1BtyTkwNvYZOxXktX,contemporary r&b
3zTOe1BtyTkwNvYZOxXktX,r&b
3zTOe1BtyTkwNvYZOxXktX,urban contemporary
01Wck2m10xhdxUrLaMq60y,contemporary r&b
