artist_id,artist_name,artist_url,followers,popularity,image_url
3Pc4rifKK1cGDjk2bSNe8U,Game & Sound,https://open.spotify.com/artist/3Pc4rifKK1cGDjk2bSNe8U,17191,36,https://i.scdn.co/image/ab6761610000f178416fbeb1393a155fb6ee0fd5
0LzeyDrlLtuyBqMSBN4z3U,Qumu,https://open.spotify.com/artist/0LzeyDrlLtuyBqMSBN4z3U,160334,53,https://i.scdn.co/image/ab6761610000f178dffc3d0e6fc685b3cb032c65
6mU8ucezzms5I2kNH6HNlu,Conor Maynard,https://open.spotify.com/artist/6mU8ucezzms5I2kNH6HNlu,2112293,65,https://i.scdn.co/image/ab6761610000f1789cf43d8fd322fb5abc2c3d4b
4bYPcJP5jwMhSivRcqie2n,Adam Levine,https://open.spotify.com/artist/4bYPcJP5jwMhSivRcqie2n,1030849,74,https://i.scdn.co/image/ab6761610000f1784a61c7615c8125e832ffc32c
4IGefvREMX9lPVpRnLrlX3,Jun'ichi Masuda,https://open.spotify.com/artist/4IGefvREMX9lPVpRnLrlX3,12,0,
5klp9VmF0Os0ytBwXBy8Tf,Lindiwe Mkhize,https://open.spotify.com/artist/5klp9VmF0Os0ytBwXBy8Tf,7512,43,
7hm0Ngouir56yhbzXu9yRH,Keith,https://open.spotify.com/artist/7hm0Ngouir56yhbzXu9yRH,2300,24,https://i.scdn.co/image/ab67616d00004851cd66d0a0bb8fdac9597d2569
6wvtyGNtNtLlkHONVzOocm,The Litter,https://open.spotify.com/artist/6wvtyGNtNtLlkHONVzOocm,14556,28,https://i.scdn.co/image/ab67616d00004851b963b5982e69e22238c9f934
6xdkfNRMtBzeu7t4wyum2X,Barry McGuire,https://open.spotify.com/artist/6xdkfNRMtBzeu7t4wyum2X,26146,43,https://i.scdn.co/image/195760399eb6be3efb5bda570edf20d2dc7091f3
5jSbiP9GtHrT2doGLJqbKu,Honeybus,https://open.spotify.com/artist/5jSbiP9GtHrT2doGLJqbKu,4881,30,https://i.scdn.co/image/ab6772690000bac38b8aaacad80ebddd92e91842
7t4XHvWfj0XtEB8SNFeALw,Tommy Roe,https://open.spotify.com/artist/7t4XHvWfj0XtEB8SNFeALw,83618,42,https://i.scdn.co/image/ab6761610000f178f7a9fabaccb88079407de1c2
21WS9wngs9AqFckK7yYJPM,PnB Rock,https://open.spotify.com/artist/21WS9wngs9AqFckK7yYJPM,4203424,71,https://i.scdn.co/image/ab6761610000f1784962230cc9649e2083ac1665
2VkASgJ3IjpMHG5aYXx4t2,Wayne Fontana & The Mindbenders,https://open.spotify.com/artist/2VkASgJ3IjpMHG5aYXx4t2,30504,35,https://i.scdn.co/image/ab67616d000048511e8639e541362254c425f021
17XXKfRBMCWvLrqGoNkJXm,Engelbert Humperdinck,https://open.spotify.com/artist/17XXKfRBMCWvLrqGoNkJXm,719362,64,https://i.scdn.co/image/ab6761610000f1780f3aa6415854de11e7d9c532
5jX7X3kRkfJTRqAdT7RcHk,Cass Elliot,https://open.spotify.com/artist/5jX7X3kRkfJTRqAdT7RcHk,119272,56,https://i.scdn.co/image/ab6761610000f178e910dbd1a3501f59d32b8e2e
6I3M904Y9IwgDjrQ9pANiB,Kenny G,https://open.spotify.com/artist/6I3M904Y9IwgDjrQ9pANiB,1177644,69,https://i.scdn.co/image/ab6761610000f178fce79bf01d99f9434108b56e
3xs0LEzcPXtgNfMNcHzLIP,Rockwell,https://open.spotify.com/artist/3xs0LEzcPXtgNfMNcHzLIP,90910,59,https://i.scdn.co/image/ab6772690000bac338e130e4a87d0d8a46912426
4vRyd1UZ8Eq98EppbwOBg6,Blind Willie McTell,https://open.spotify.com/artist/4vRyd1UZ8Eq98EppbwOBg6,58697,32,https://i.scdn.co/image/ab6772690000bac3371155387c9487441042285c
0m8dKC3T9anldCh2OgZ6pJ,Tommy McClennan,https://open.spotify.com/artist/0m8dKC3T9anldCh2OgZ6pJ,4510,14,https://i.scdn.co/image/ab67616d000048518497c8a0dd986745c6389eb1
4SsLXt0cHcVRhHzxXa8Wnx,Jeff Healey,https://open.spotify.com/artist/4SsLXt0cHcVRhHzxXa8Wnx,92265,34,https://i.scdn.co/image/ab6761610000f178d285d6234fe211d6ecd6279c
72VzFto8DYvKHocaHYNWSi,Hot Chocolate,https://open.spotify.com/artist/72VzFto8DYvKHocaHYNWSi,308328,60,https://i.scdn.co/image/67297a17659700db7746c22c94b0ade77d45afdc
0SIxAAknV8iR2jHcQJ9Sfn,Ruck P,https://open.spotify.com/artist/0SIxAAknV8iR2jHcQJ9Sfn,17057,43,https://i.scdn.co/image/ab6761610000f178b6ffa237995fb4b510b33709
08avsqaGIlK2x3i2Cu7rKH,Keith Richards,https://open.spotify.com/artist/08avsqaGIlK2x3i2Cu7rKH,346639,46,https://i.scdn.co/image/9501c73796dede00f3115adfe6d780b8cc689f16
5jAMCwdNHWr7JThxtMuEyy,NOTD,https://open.spotify.com/artist/5jAMCwdNHWr7JThxtMuEyy,314146,62,https://i.scdn.co/image/ab6761610000f178efad82d14906269313783133
0phMS1UDPTZlxuEnarDUKt,Son Seals,https://open.spotify.com/artist/0phMS1UDPTZlxuEnarDUKt,33001,40,https://i.scdn.co/image/fa2c04a7f049d09fb01ab004a8e13386c52aa713
1bObiFZkYu7IfzxVlAVj5x,Danny Vera,https://open.spotify.com/artist/1bObiFZkYu7IfzxVlAVj5x,318362,57,https://i.scdn.co/image/ab6761610000f1784f35ef77da223daababc27c2
2e53aHBQdCMKWqHDuyJsjC,Free,https://open.spotify.com/artist/2e53aHBQdCMKWqHDuyJsjC,544262,56,https://i.scdn.co/image/1e9fb2235b246cfd756b134093521da17d85bb24
2gaCpvhi31OZtozJKsr5gm,Papooz,https://open.spotify.com/artist/2gaCpvhi31OZtozJKsr5gm,155994,53,https://i.scdn.co/image/ab6761610000f178edfda2870c8c294a1077bc56
4HfoncnCuBS7D4xU4VDosQ,Southern Avenue,https://open.spotify.com/artist/4HfoncnCuBS7D4xU4VDosQ,31224,32,https://i.scdn.co/image/ab6761610000f178cfefa29d3e58cfe37c81d6e7
4kJMG0aB4UYiKfHA9esWDt,Jessy Martens and Band,https://open.spotify.com/artist/4kJMG0aB4UYiKfHA9esWDt,5177,21,https://i.scdn.co/image/ab6761610000f17866a57f0c1cc3396805c25646
66jsWaGhzSpHH1KRF34Oq3,Jonah Tolchin,https://open.spotify.com/artist/66jsWaGhzSpHH1KRF34Oq3,14981,36,https://i.scdn.co/image/ab6761610000f178ebf472b59669095754055ff0
4Uv0Jg45Oq7vBXXwQNhXyf,Brick,https://open.spotify.com/artist/4Uv0Jg45Oq7vBXXwQNhXyf,177512,41,https://i.scdn.co/image/ab6761610000f178462d3586fbcc7b4a07115df1
0elA30wLp3RmiPaGtU2jhQ,Mississippi Fred McDowell,https://open.spotify.com/artist/0elA30wLp3RmiPaGtU2jhQ,62389,35,https://i.scdn.co/image/93d7a759b49308d90c9d0ddd822ce018a6541048
6OgHTWl7y9oeccoxeXXDPn,C Y G N,https://open.spotify.com/artist/6OgHTWl7y9oeccoxeXXDPn,18056,38,https://i.scdn.co/image/ab6761610000f178021e6d9edea41c054620169a
1Jl8u1U1GtBlwocZK5LWZv,JJ Grey & Mofro,https://open.spotify.com/artist/1Jl8u1U1GtBlwocZK5LWZv,188568,54,https://i.scdn.co/image/ab6761610000f1785567a29f98781cbd742567af
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os,8128014,77,https://i.scdn.co/image/ab6761610000f178417db49cde3ed1c5a65e3514
7cg61q8kK8jlFi8TKKw70p,Afrika Bambaataa,https://open.spotify.com/artist/7cg61q8kK8jlFi8TKKw70p,157866,46,https://i.scdn.co/image/ab6761610000f178338f62b09ba1fd4f0f5ed1f4
6d9eyCKSzKbGK4bTM2erwG,LDS,https://open.spotify.com/artist/6d9eyCKSzKbGK4bTM2erwG,3714,21,https://i.scdn.co/image/ab6761610000f178944d1a1d55b587cfca996884
2bcrMsFlF632EQ6VZERWFu,The Bravery,https://open.spotify.com/artist/2bcrMsFlF632EQ6VZERWFu,263050,52,https://i.scdn.co/image/ab6761610000f178f8c27bb10b12f42de3cbe41a
5LXHT7v9uYGrsyEnL9q9K8,Kalaido,https://open.spotify.com/artist/5LXHT7v9uYGrsyEnL9q9K8,21273,46,https://i.scdn.co/image/ab6761610000f178d24e925ce9bbc820118276b9
3Y1v0CdcPNUfbGU3rodwUk,TARYN,https://open.spotify.com/artist/3Y1v0CdcPNUfbGU3rodwUk,619,17,https://i.scdn.co/image/ab6761610000f17855356f1df918142f16d866f9
0SM6zo7lSdqyplZo6XRX76,Smuv,https://open.spotify.com/artist/0SM6zo7lSdqyplZo6XRX76,11060,43,https://i.scdn.co/image/ab6761610000f178dfb891d5fe7d0cd2ae547505
3NUsiT2JSyaWAnWaXxDzhQ,Dexter Gordon,https://open.spotify.com/artist/3NUsiT2JSyaWAnWaXxDzhQ,218489,50,https://i.scdn.co/image/ab6761610000f1787e357392ac4637109f24e459
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,https://open.spotify.com/artist/2iojnBLj0qIMiKPvVhLnsH,7565118,72,https://i.scdn.co/image/ab6761610000f178fd7cca32a58a9bb263fb5c4a
4d53BMrRlQkrQMz5d59f2O,Mayer Hawthorne,https://open.spotify.com/artist/4d53BMrRlQkrQMz5d59f2O,298646,54,https://i.scdn.co/image/ab6761610000f178c465e461c7e8833253a89063
0hE3uA2w3guHeKvuc7BpRr,Deodato,https://open.spotify.com/artist/0hE3uA2w3guHeKvuc7BpRr,77572,43,https://i.scdn.co/image/ab67616d00004851838380761b418699c935e058
4SkLPRjzPXh6d5n32Vypy5,Lord Echo,https://open.spotify.com/artist/4SkLPRjzPXh6d5n32Vypy5,78001,46,https://i.scdn.co/image/ab6761610000f178654f9272ef47a7bf65b88d61
3XxxEq6BREC57nCWXbQZ7o,Jamie Cullum,https://open.spotify.com/artist/3XxxEq6BREC57nCWXbQZ7o,539533,67,https://i.scdn.co/image/ab6761610000f1785ea05545f2d4f1d5135da9df
27WVFBOddxovimxMmBN4fb,Naomi Sharon,https://open.spotify.com/artist/27WVFBOddxovimxMmBN4fb,104217,58,https://i.scdn.co/image/ab6761610000f1782c85763a14087ebc0ab0147a
3EnbnmqrrvApHJs6FMvYik,Elder Island,https://open.spotify.com/artist/3EnbnmqrrvApHJs6FMvYik,158770,45,https://i.scdn.co/image/ab6761610000f1780386d339d72e398cbbc0c960
2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,https://open.spotify.com/artist/2ooIqOf4X2uz4mMptXCtie,739852,58,https://i.scdn.co/image/ab6761610000f1783c0a3cafde53be39a91f373e
4kkfqDFX2t4QBOwuHqAROF,Taana Gardner,https://open.spotify.com/artist/4kkfqDFX2t4QBOwuHqAROF,11297,26,https://i.scdn.co/image/41908529793d731aa212dd196174a9c12ded528f
37M5pPGs6V1fchFJSgCguX,FINNEAS,https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX,2149512,72,https://i.scdn.co/image/ab6761610000f1789b3eec90cbef9a38ce85b984
6Q8A9S9o98GqVGzDdiwvTH,Knut Reiersrud,https://open.spotify.com/artist/6Q8A9S9o98GqVGzDdiwvTH,6000,29,https://i.scdn.co/image/ab6761610000f17801758e8a0ee99de59abab31e
795yvukGj0UOfcP8uftDq9,Branford Marsalis Quartet,https://open.spotify.com/artist/795yvukGj0UOfcP8uftDq9,21397,34,https://i.scdn.co/image/a4fd1b45740c1abb860b4b47fd7c18f4431b23b0
4uaGojdWj4H6cTJydZUPWG,Christian Kuria,https://open.spotify.com/artist/4uaGojdWj4H6cTJydZUPWG,181401,59,https://i.scdn.co/image/ab6761610000f178564be6990a242d48f2e33738
5b4SvpTqll0LSqJWPpXya5,Odyssey,https://open.spotify.com/artist/5b4SvpTqll0LSqJWPpXya5,126237,47,https://i.scdn.co/image/ab67616d000048513c8cb1c41b25d18e728d01dc
0a0l3QVhfMwQNAO4wPAmP9,Sounds Of Blackness,https://open.spotify.com/artist/0a0l3QVhfMwQNAO4wPAmP9,46686,45,https://i.scdn.co/image/0a226ee13e42ca0b8d515a3028248927294dcf9a
30nQz03BZ9JSH183zqLttV,Michael Cooper,https://open.spotify.com/artist/30nQz03BZ9JSH183zqLttV,19801,27,https://i.scdn.co/image/ab67616d000048510b338c186cc6e0edfdb43073
